problem,run,trial,accuracy,n_seen,program
trs.waves.1.c002,3,8,1,329,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,9,1,145,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,10,1,233,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,3,11,1,185,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c011,0,1,0,17,"C = TAIL;"
trs.waves.1.c011,0,2,1,20793,".(C .(var37_ NIL)) = NIL; .(C .(var33_ var13_)) = .(var33_ .(C var13_));"
trs.waves.1.c011,0,3,1,26257,".(C .(var37_ NIL)) = NIL; .(C .(var33_ var13_)) = .(var33_ .(C var13_));"
trs.waves.1.c011,0,4,1,14033,".(C .(var37_ NIL)) = NIL; .(C .(var33_ var13_)) = .(var33_ .(C var13_));"
trs.waves.1.c011,0,5,1,6897,".(C .(var37_ NIL)) = NIL; .(C .(var33_ var13_)) = .(var33_ .(C var13_));"
trs.waves.1.c011,0,6,1,3265,".(C .(var37_ NIL)) = NIL; .(C .(var33_ var13_)) = .(var33_ .(C var13_));"
trs.waves.1.c011,0,7,1,1889,".(C .(var37_ NIL)) = NIL; .(C .(var33_ var13_)) = .(var33_ .(C var13_));"
trs.waves.1.c011,0,8,1,1009,".(C .(var37_ NIL)) = NIL; .(C .(var33_ var13_)) = .(var33_ .(C var13_));"
trs.waves.1.c011,0,9,1,601,".(C .(var37_ NIL)) = NIL; .(C .(var33_ var13_)) = .(var33_ .(C var13_));"
trs.waves.1.c011,0,10,1,601,".(C .(var37_ NIL)) = NIL; .(C .(var33_ var13_)) = .(var33_ .(C var13_));"
trs.waves.1.c011,0,11,1,529,".(C .(var37_ NIL)) = NIL; .(C .(var33_ var13_)) = .(var33_ .(C var13_));"
trs.waves.1.c008,3,1,0,17,"C = TAIL;"
trs.waves.1.c008,3,2,1,26281,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,3,3,1,15169,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,3,4,1,7537,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,3,5,1,3993,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,3,6,1,2321,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,3,7,1,833,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,3,8,1,401,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,3,9,1,313,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,3,10,1,241,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c008,3,11,1,321,".(C var13_) = .(.(CONS .(HEAD var13_)) NIL);"
trs.waves.1.c000,4,1,0,17,"C = TAIL;"
trs.waves.1.c000,4,2,1,49609,".(var15_ NIL) = NIL;"
trs.waves.1.c000,4,3,1,31001,".(var15_ NIL) = NIL;"
trs.waves.1.c000,4,4,1,21641,".(var15_ NIL) = NIL;"
trs.waves.1.c000,4,5,1,9993,".(var15_ NIL) = NIL;"
trs.waves.1.c000,4,6,1,4713,".(var15_ NIL) = NIL;"
trs.waves.1.c000,4,7,1,2609,".(var15_ NIL) = NIL;"
trs.waves.1.c000,4,8,1,1481,".(var15_ NIL) = NIL;"
trs.waves.1.c000,4,9,1,849,".(var15_ NIL) = NIL;"
trs.waves.1.c000,4,10,1,897,".(var15_ NIL) = NIL;"
trs.waves.1.c000,4,11,1,697,".(var15_ NIL) = NIL;"
trs.waves.1.c000,3,1,0,17,"C = TAIL;"
trs.waves.1.c000,3,2,1,83785,".(var17_ NIL) = NIL;"
trs.waves.1.c000,3,3,1,31209,".(var17_ NIL) = NIL;"
trs.waves.1.c000,3,4,1,18585,".(var17_ NIL) = NIL;"
trs.waves.1.c000,3,5,1,9473,".(var17_ NIL) = NIL;"
trs.waves.1.c000,3,6,1,4977,".(var17_ NIL) = NIL;"
trs.waves.1.c000,3,7,1,2753,".(var17_ NIL) = NIL;"
trs.waves.1.c000,3,8,1,1593,".(var17_ NIL) = NIL;"
trs.waves.1.c000,3,9,1,945,".(var17_ NIL) = NIL;"
trs.waves.1.c000,3,10,1,969,".(var17_ NIL) = NIL;"
trs.waves.1.c000,3,11,1,825,".(var17_ NIL) = NIL;"
trs.waves.1.c002,0,1,0,17,"C = TAIL;"
trs.waves.1.c002,0,2,1,24833,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,0,3,1,7681,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,0,4,1,3801,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,0,5,1,2113,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,0,6,1,1209,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,0,7,1,481,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,0,8,1,393,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,0,9,1,201,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
trs.waves.1.c002,0,10,1,217,".(C var13_) = .(.(CONS .(.(DECC .(DIGIT 1)) 6)) .(.(CONS .(.(DECC .(DIGIT 2)) 5)) NIL));"
