Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
103	:	1582750204.800	    39.796	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c020 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c020_2.log
69	:	1582750162.829	    82.519	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c013 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c013_3.log
100	:	1582750200.187	    45.920	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c019 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c019_4.log
104	:	1582750205.133	    41.515	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c020 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c020_3.log
99	:	1582750197.914	    53.105	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c019 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c019_3.log
79	:	1582750171.598	    79.744	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c015 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c015_3.log
73	:	1582750166.034	    87.696	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c014 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c014_2.log
95	:	1582750189.128	    66.548	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c018 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c018_4.log
92	:	1582750186.942	    70.197	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c018 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c018_1.log
59	:	1582750144.006	   115.993	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c011 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c011_3.log
76	:	1582750170.249	    97.858	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c015 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c015_0.log
107	:	1582750206.593	    67.347	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/2/c000 &> out/1582750143_2020-02-26-20-49-03/trs.waves.2.c000_1.log
40	:	1582750143.965	   134.412	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c007 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c007_4.log
77	:	1582750171.244	   107.686	0	0	0	0	RUST_BACKTRACE=full cargo run --release --bin simulation -- trs/simulation.toml trs/waves/1/c015 &> out/1582750143_2020-02-26-20-49-03/trs.waves.1.c015_1.log
